Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,Institutional sector,Edition,Category,TIME_PERIOD,OBS_VALUE,Observation status
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,25.978,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,25.828,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,26.872,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,29.542,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,33.349,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,7.302,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,8.581,Normal value
Annual,EST,Estonia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,13.778,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,99.87,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,96.69,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,97.09,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,113.6,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,107.14,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,89.85,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,90.47,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,90.1,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,69.17,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,73.94,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,84.38,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,88.28,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,89.19,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,98.88,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,100.67,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,106.36,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,103.83,Normal value
Annual,EUOECD,European Union countries in OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,103.31,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,78.47,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,75.754,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,75.626,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,87.225,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,82.223,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,74.769,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,80.694,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,85.28,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,41.088,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,40.325,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,51.636,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,58.016,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,61.005,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,68.257,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,69.126,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,76.284,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,80.375,Normal value
Annual,FIN,Finland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,81.128,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,124.765,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,122.743,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,122.825,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,144.464,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,136.676,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,115.335,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,116.452,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,116.457,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,77.261,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,83.412,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,97.952,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,101.195,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,103.392,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,111.394,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,112.728,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,120.964,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,121.555,Normal value
Annual,FRA,France,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,124.894,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,117.203,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,116.72,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,113.39,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,115.873,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,147.925,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,138.094,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,99.434,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,98.214,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,93.004,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,51.251,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,63.488,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,77.085,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,87.51,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,101.211,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,104.715,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,100.525,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,110.395,Normal value
Annual,GBR,United Kingdom,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,110.007,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,192.507,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,198.238,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,198.888,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,233.787,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,220.858,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,191.98,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,180.176,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,169.257,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,114.683,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,119.247,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,137.374,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,130.668,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,113.482,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,169.329,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,183.198,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,184.325,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,185.291,Normal value
Annual,GRC,Greece,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,189.048,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,93.105,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,86.599,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,83.599,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,96.497,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,88.295,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,77.35,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,81.428,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,81.867,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,71.895,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,75.793,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,85.076,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,86.243,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,95.295,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,98.682,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,97.229,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,100.559,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,98.798,Normal value
Annual,HUN,Hungary,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,98.424,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,76.649,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,74.541,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,68.915,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,71.524,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,62.967,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,45.307,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,46.266,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,41.111,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,27.475,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,47.291,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,67.47,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,83.354,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,109.769,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,128.137,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,130.951,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,122.483,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,89.297,Normal value
Annual,IRL,Ireland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,87.23,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,69.218,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,71.803,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,84.74,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,81.864,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,74.351,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,69.111,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,73.463,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,116.555,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,134.994,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,139.9,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,145.254,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,140.909,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,128.673,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,122.974,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,103.153,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,88.711,Normal value
Annual,ISL,Iceland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,77.941,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,71.891,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,74.383,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,86.828,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,82.833,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,68.455,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,68.321,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,78.583,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,79.566,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,82.504,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,79.368,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,77.602,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,78.719,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,76.894,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,77.562,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,78.341,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,76.906,Normal value
Annual,ISR,Israel,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,73.653,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,135.131,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,142.799,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,154.839,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,155.857,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,150.631,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,145.843,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,152.882,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,181.38,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,169.034,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,145.064,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,148.217,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,148.41,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,109.755,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,112.128,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,125.044,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,123.83,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,116.959,Normal value
Annual,ITA,Italy,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,153.175,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,223.874,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,225.289,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,246.69,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,243.733,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,242.306,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,228.085,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,153.132,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,158.504,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,178.875,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,182.96,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,198.634,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,207.192,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,209.484,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,217.004,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,220.661,Normal value
